R,L,C,V_in,V_R,V_L,V_C
1.0,1e-06,1e-09,1.0,1.0,0.0,1.0
1.0,1e-06,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,1e-06,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,1e-06,3.34e-07,1.0,1.0,0.0,1.0
1.0,1e-06,4.45e-07,1.0,1.0,0.0,1.0
1.0,1e-06,5.56e-07,1.0,1.0,0.0,1.0
1.0,1e-06,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,1e-06,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,1e-06,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,1e-06,1e-06,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,1e-09,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,3.34e-07,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,4.45e-07,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,5.56e-07,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.00011200000000000001,1e-06,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,1e-09,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,3.34e-07,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,4.45e-07,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,5.56e-07,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.00022300000000000003,1e-06,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,1e-09,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,3.34e-07,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,4.45e-07,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,5.56e-07,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0003340000000000001,1e-06,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,1e-09,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,3.34e-07,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,4.45e-07,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,5.56e-07,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0004450000000000001,1e-06,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,1e-09,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,3.34e-07,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,4.45e-07,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,5.56e-07,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0005560000000000001,1e-06,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,1e-09,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,3.34e-07,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,4.45e-07,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,5.56e-07,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0006670000000000002,1e-06,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,1e-09,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,3.34e-07,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,4.45e-07,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,5.56e-07,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0007780000000000002,1e-06,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,1e-09,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,3.34e-07,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,4.45e-07,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,5.56e-07,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.0008890000000000001,1e-06,1.0,1.0,0.0,1.0
1.0,0.001,1e-09,1.0,1.0,0.0,1.0
1.0,0.001,1.1199999999999998e-07,1.0,1.0,0.0,1.0
1.0,0.001,2.2299999999999997e-07,1.0,1.0,0.0,1.0
1.0,0.001,3.34e-07,1.0,1.0,0.0,1.0
1.0,0.001,4.45e-07,1.0,1.0,0.0,1.0
1.0,0.001,5.56e-07,1.0,1.0,0.0,1.0
1.0,0.001,6.669999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.001,7.779999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.001,8.889999999999999e-07,1.0,1.0,0.0,1.0
1.0,0.001,1e-06,1.0,1.0,0.0,1.0
112.0,1e-06,1e-09,1.0,1.0,0.0,1.0
112.0,1e-06,1.1199999999999998e-07,1.0,1.0,0.0,1.0
112.0,1e-06,2.2299999999999997e-07,1.0,1.0,0.0,1.0
112.0,1e-06,3.34e-07,1.0,1.0,0.0,1.0
112.0,1e-06,4.45e-07,1.0,1.0,0.0,1.0
112.0,1e-06,5.56e-07,1.0,1.0,0.0,1.0
112.0,1e-06,6.669999999999999e-07,1.0,1.0,0.0,1.0
112.0,1e-06,7.779999999999999e-07,1.0,1.0,0.0,1.0
112.0,1e-06,8.889999999999999e-07,1.0,1.0,0.0,1.0
112.0,1e-06,1e-06,1.0,1.0,0.0,1.0
112.0,0.00011200000000000001,1e-09,1.0,1.0,0.0,1.0
112.0,0.00011200000000000001,1.1199999999999998e-07,1.0,1.0,0.0,1.0
112.0,0.00011200000000000001,2.2299999999999997e-07,1.0,1.0,0.0,1.0
112.0,0.00011200000000000001,3.34e-07,1.0,1.0,0.0,1.0
112.0,0.00011200000000000001,4.45e-07,1.0,1.0,0.0,1.0
112.0,0.00011200000000000001,5.56e-07,1.0,1.0,0.0,1.0
112.0,0.00011200000000000001,6.669999999999999e-07,1.0,1.0,0.0,1.0
