R,C,V_in,V_out
1000.0,1e-07,5.0,0.0
1000.0,2e-07,5.0,0.0
1000.0,3e-07,5.0,0.0
1000.0,4e-07,5.0,0.0
1000.0,5e-07,5.0,0.0
1000.0,6e-07,5.0,0.0
1000.0,7e-07,5.0,0.0
1000.0,8e-07,5.0,0.0
1000.0,9e-07,5.0,0.0
1000.0,1e-06,5.0,0.0
1000.0,1.1e-06,5.0,0.0
1000.0,1.2e-06,5.0,0.0
1000.0,1.2999999999999998e-06,5.0,0.0
1000.0,1.3999999999999997e-06,5.0,0.0
1000.0,1.5e-06,5.0,0.0
1000.0,1.6e-06,5.0,0.0
1000.0,1.6999999999999998e-06,5.0,0.0
1000.0,1.7999999999999997e-06,5.0,0.0
1000.0,1.9e-06,5.0,0.0
1000.0,2e-06,5.0,0.0
1000.0,2.1e-06,5.0,0.0
1000.0,2.1999999999999997e-06,5.0,0.0
1000.0,2.3e-06,5.0,0.0
1000.0,2.4e-06,5.0,0.0
1000.0,2.4999999999999998e-06,5.0,0.0
1000.0,2.5999999999999997e-06,5.0,0.0
1000.0,2.6999999999999996e-06,5.0,0.0
1000.0,2.8e-06,5.0,0.0
1000.0,2.8999999999999998e-06,5.0,0.0
1000.0,2.9999999999999997e-06,5.0,0.0
1000.0,3.1e-06,5.0,0.0
1000.0,3.2e-06,5.0,0.0
1000.0,3.2999999999999997e-06,5.0,0.0
1000.0,3.3999999999999996e-06,5.0,0.0
1000.0,3.4999999999999995e-06,5.0,0.0
1000.0,3.6e-06,5.0,0.0
1000.0,3.6999999999999997e-06,5.0,0.0
1000.0,3.7999999999999996e-06,5.0,0.0
1000.0,3.9e-06,5.0,0.0
1000.0,4e-06,5.0,0.0
1000.0,4.1e-06,5.0,0.0
1000.0,4.2e-06,5.0,0.0
1000.0,4.2999999999999995e-06,5.0,0.0
1000.0,4.399999999999999e-06,5.0,0.0
1000.0,4.5e-06,5.0,0.0
1000.0,4.6e-06,5.0,0.0
1000.0,4.7e-06,5.0,0.0
1000.0,4.8e-06,5.0,0.0
1000.0,4.9e-06,5.0,0.0
1000.0,4.9999999999999996e-06,5.0,0.0
1000.0,5.0999999999999995e-06,5.0,0.0
1000.0,5.199999999999999e-06,5.0,0.0
1000.0,5.299999999999999e-06,5.0,0.0
1000.0,5.4e-06,5.0,0.0
1000.0,5.5e-06,5.0,0.0
1000.0,5.6e-06,5.0,0.0
1000.0,5.7e-06,5.0,0.0
1000.0,5.7999999999999995e-06,5.0,0.0
1000.0,5.899999999999999e-06,5.0,0.0
1000.0,5.999999999999999e-06,5.0,0.0
1000.0,6.1e-06,5.0,0.0
1000.0,6.2e-06,5.0,0.0
1000.0,6.3e-06,5.0,0.0
1000.0,6.4e-06,5.0,0.0
1000.0,6.5e-06,5.0,0.0
1000.0,6.5999999999999995e-06,5.0,0.0
1000.0,6.699999999999999e-06,5.0,0.0
1000.0,6.799999999999999e-06,5.0,0.0
1000.0,6.899999999999999e-06,5.0,0.0
1000.0,7e-06,5.0,0.0
1000.0,7.1e-06,5.0,0.0
1000.0,7.2e-06,5.0,0.0
1000.0,7.2999999999999996e-06,5.0,0.0
1000.0,7.3999999999999995e-06,5.0,0.0
1000.0,7.499999999999999e-06,5.0,0.0
1000.0,7.599999999999999e-06,5.0,0.0
1000.0,7.7e-06,5.0,0.0
1000.0,7.8e-06,5.0,0.0
1000.0,7.9e-06,5.0,0.0
1000.0,8e-06,5.0,0.0
1000.0,8.1e-06,5.0,0.0
1000.0,8.200000000000001e-06,5.0,0.0
1000.0,8.3e-06,5.0,0.0
1000.0,8.400000000000001e-06,5.0,0.0
1000.0,8.5e-06,5.0,0.0
1000.0,8.6e-06,5.0,0.0
1000.0,8.7e-06,5.0,0.0
1000.0,8.8e-06,5.0,0.0
1000.0,8.900000000000001e-06,5.0,0.0
1000.0,9e-06,5.0,0.0
1000.0,9.100000000000001e-06,5.0,0.0
1000.0,9.2e-06,5.0,0.0
1000.0,9.3e-06,5.0,0.0
1000.0,9.4e-06,5.0,0.0
1000.0,9.5e-06,5.0,0.0
1000.0,9.6e-06,5.0,0.0
1000.0,9.7e-06,5.0,0.0
1000.0,9.800000000000001e-06,5.0,0.0
1000.0,9.9e-06,5.0,0.0
1000.0,1e-05,5.0,0.0
1090.909090909091,1e-07,5.0,0.0
1090.909090909091,2e-07,5.0,0.0
1090.909090909091,3e-07,5.0,0.0
1090.909090909091,4e-07,5.0,0.0
1090.909090909091,5e-07,5.0,0.0
1090.909090909091,6e-07,5.0,0.0
1090.909090909091,7e-07,5.0,0.0
1090.909090909091,8e-07,5.0,0.0
1090.909090909091,9e-07,5.0,0.0
1090.909090909091,1e-06,5.0,0.0
1090.909090909091,1.1e-06,5.0,0.0
1090.909090909091,1.2e-06,5.0,0.0
1090.909090909091,1.2999999999999998e-06,5.0,0.0
1090.909090909091,1.3999999999999997e-06,5.0,0.0
1090.909090909091,1.5e-06,5.0,0.0
1090.909090909091,1.6e-06,5.0,0.0
1090.909090909091,1.6999999999999998e-06,5.0,0.0
1090.909090909091,1.7999999999999997e-06,5.0,0.0
1090.909090909091,1.9e-06,5.0,0.0
1090.909090909091,2e-06,5.0,0.0
1090.909090909091,2.1e-06,5.0,0.0
1090.909090909091,2.1999999999999997e-06,5.0,0.0
1090.909090909091,2.3e-06,5.0,0.0
1090.909090909091,2.4e-06,5.0,0.0
1090.909090909091,2.4999999999999998e-06,5.0,0.0
1090.909090909091,2.5999999999999997e-06,5.0,0.0
1090.909090909091,2.6999999999999996e-06,5.0,0.0
1090.909090909091,2.8e-06,5.0,0.0
1090.909090909091,2.8999999999999998e-06,5.0,0.0
1090.909090909091,2.9999999999999997e-06,5.0,0.0
1090.909090909091,3.1e-06,5.0,0.0
1090.909090909091,3.2e-06,5.0,0.0
1090.909090909091,3.2999999999999997e-06,5.0,0.0
1090.909090909091,3.3999999999999996e-06,5.0,0.0
1090.909090909091,3.4999999999999995e-06,5.0,0.0
1090.909090909091,3.6e-06,5.0,0.0
1090.909090909091,3.6999999999999997e-06,5.0,0.0
1090.909090909091,3.7999999999999996e-06,5.0,0.0
1090.909090909091,3.9e-06,5.0,0.0
1090.909090909091,4e-06,5.0,0.0
1090.909090909091,4.1e-06,5.0,0.0
1090.909090909091,4.2e-06,5.0,0.0
1090.909090909091,4.2999999999999995e-06,5.0,0.0
1090.909090909091,4.399999999999999e-06,5.0,0.0
1090.909090909091,4.5e-06,5.0,0.0
1090.909090909091,4.6e-06,5.0,0.0
1090.909090909091,4.7e-06,5.0,0.0
1090.909090909091,4.8e-06,5.0,0.0
1090.909090909091,4.9e-06,5.0,0.0
1090.909090909091,4.9999999999999996e-06,5.0,0.0
1090.909090909091,5.0999999999999995e-06,5.0,0.0
1090.909090909091,5.199999999999999e-06,5.0,0.0
1090.909090909091,5.299999999999999e-06,5.0,0.0
1090.909090909091,5.4e-06,5.0,0.0
1090.909090909091,5.5e-06,5.0,0.0
1090.909090909091,5.6e-06,5.0,0.0
1090.909090909091,5.7e-06,5.0,0.0
1090.909090909091,5.7999999999999995e-06,5.0,0.0
1090.909090909091,5.899999999999999e-06,5.0,0.0
1090.909090909091,5.999999999999999e-06,5.0,0.0
1090.909090909091,6.1e-06,5.0,0.0
1090.909090909091,6.2e-06,5.0,0.0
1090.909090909091,6.3e-06,5.0,0.0
1090.909090909091,6.4e-06,5.0,0.0
1090.909090909091,6.5e-06,5.0,0.0
1090.909090909091,6.5999999999999995e-06,5.0,0.0
1090.909090909091,6.699999999999999e-06,5.0,0.0
1090.909090909091,6.799999999999999e-06,5.0,0.0
1090.909090909091,6.899999999999999e-06,5.0,0.0
1090.909090909091,7e-06,5.0,0.0
1090.909090909091,7.1e-06,5.0,0.0
1090.909090909091,7.2e-06,5.0,0.0
1090.909090909091,7.2999999999999996e-06,5.0,0.0
1090.909090909091,7.3999999999999995e-06,5.0,0.0
1090.909090909091,7.499999999999999e-06,5.0,0.0
1090.909090909091,7.599999999999999e-06,5.0,0.0
1090.909090909091,7.7e-06,5.0,0.0
1090.909090909091,7.8e-06,5.0,0.0
1090.909090909091,7.9e-06,5.0,0.0
1090.909090909091,8e-06,5.0,0.0
1090.909090909091,8.1e-06,5.0,0.0
1090.909090909091,8.200000000000001e-06,5.0,0.0
1090.909090909091,8.3e-06,5.0,0.0
1090.909090909091,8.400000000000001e-06,5.0,0.0
1090.909090909091,8.5e-06,5.0,0.0
1090.909090909091,8.6e-06,5.0,0.0
1090.909090909091,8.7e-06,5.0,0.0
1090.909090909091,8.8e-06,5.0,0.0
1090.909090909091,8.900000000000001e-06,5.0,0.0
1090.909090909091,9e-06,5.0,0.0
1090.909090909091,9.100000000000001e-06,5.0,0.0
1090.909090909091,9.2e-06,5.0,0.0
1090.909090909091,9.3e-06,5.0,0.0
1090.909090909091,9.4e-06,5.0,0.0
1090.909090909091,9.5e-06,5.0,0.0
1090.909090909091,9.6e-06,5.0,0.0
1090.909090909091,9.7e-06,5.0,0.0
1090.909090909091,9.800000000000001e-06,5.0,0.0
1090.909090909091,9.9e-06,5.0,0.0
1090.909090909091,1e-05,5.0,0.0
1181.8181818181818,1e-07,5.0,0.0
1181.8181818181818,2e-07,5.0,0.0
1181.8181818181818,3e-07,5.0,0.0
1181.8181818181818,4e-07,5.0,0.0
1181.8181818181818,5e-07,5.0,0.0
1181.8181818181818,6e-07,5.0,0.0
1181.8181818181818,7e-07,5.0,0.0
1181.8181818181818,8e-07,5.0,0.0
1181.8181818181818,9e-07,5.0,0.0
1181.8181818181818,1e-06,5.0,0.0
1181.8181818181818,1.1e-06,5.0,0.0
1181.8181818181818,1.2e-06,5.0,0.0
1181.8181818181818,1.2999999999999998e-06,5.0,0.0
1181.8181818181818,1.3999999999999997e-06,5.0,0.0
1181.8181818181818,1.5e-06,5.0,0.0
1181.8181818181818,1.6e-06,5.0,0.0
1181.8181818181818,1.6999999999999998e-06,5.0,0.0
1181.8181818181818,1.7999999999999997e-06,5.0,0.0
1181.8181818181818,1.9e-06,5.0,0.0
1181.8181818181818,2e-06,5.0,0.0
1181.8181818181818,2.1e-06,5.0,0.0
1181.8181818181818,2.1999999999999997e-06,5.0,0.0
1181.8181818181818,2.3e-06,5.0,0.0
1181.8181818181818,2.4e-06,5.0,0.0
1181.8181818181818,2.4999999999999998e-06,5.0,0.0
