R,C,Vin,V_in,Vout,V_out,V_R,V_C,error
100.0,1e-09,0.1,0.1,,0.1,0.0,0.1,
100.0,1.1120000000000001e-06,0.1,0.1,,0.1,0.0,0.1,
100.0,2.223e-06,0.1,0.1,,0.1,0.0,0.1,
100.0,3.334e-06,0.1,0.1,,0.1,0.0,0.1,
100.0,4.445e-06,0.1,0.1,,0.1,0.0,0.1,
100.0,5.556e-06,0.1,0.1,,0.1,0.0,0.1,
100.0,6.667e-06,0.1,0.1,,0.1,0.0,0.1,
100.0,7.778e-06,0.1,0.1,,0.1,0.0,0.1,
100.0,8.889e-06,0.1,0.1,,0.1,0.0,0.1,
100.0,1e-05,0.1,0.1,,0.1,0.0,0.1,
11200.0,1e-09,0.1,0.1,,0.1,0.0,0.1,
11200.0,1.1120000000000001e-06,0.1,0.1,,0.1,0.0,0.1,
11200.0,2.223e-06,0.1,0.1,,0.1,0.0,0.1,
11200.0,3.334e-06,0.1,0.1,,0.1,0.0,0.1,
11200.0,4.445e-06,0.1,0.1,,0.1,0.0,0.1,
11200.0,5.556e-06,0.1,0.1,,0.1,0.0,0.1,
11200.0,6.667e-06,0.1,0.1,,0.1,0.0,0.1,
11200.0,7.778e-06,0.1,0.1,,0.1,0.0,0.1,
11200.0,8.889e-06,0.1,0.1,,0.1,0.0,0.1,
11200.0,1e-05,0.1,0.1,,0.1,0.0,0.1,
22300.0,1e-09,0.1,0.1,,0.1,0.0,0.1,
22300.0,1.1120000000000001e-06,0.1,0.1,,0.1,0.0,0.1,
22300.0,2.223e-06,0.1,0.1,,0.1,0.0,0.1,
22300.0,3.334e-06,0.1,0.1,,0.1,0.0,0.1,
22300.0,4.445e-06,0.1,0.1,,0.1,0.0,0.1,
22300.0,5.556e-06,0.1,0.1,,0.1,0.0,0.1,
22300.0,6.667e-06,0.1,0.1,,0.1,0.0,0.1,
22300.0,7.778e-06,0.1,0.1,,0.1,0.0,0.1,
22300.0,8.889e-06,0.1,0.1,,0.1,0.0,0.1,
22300.0,1e-05,0.1,0.1,,0.1,0.0,0.1,
33400.0,1e-09,0.1,0.1,,0.1,0.0,0.1,
33400.0,1.1120000000000001e-06,0.1,0.1,,0.1,0.0,0.1,
33400.0,2.223e-06,0.1,0.1,,0.1,0.0,0.1,
