R,L,V_in,Frequency_Hz,V_R,V_L,gain_bas,gain_haut,phase_V_R_rad,phase_V_L_rad
10.0,0.0001,1.0,1.0,0.9999999980260791,6.283185294777074e-05,0.9999999980260791,6.283185294777074e-05,-6.283185298911246e-05,1.5707334949423
10.0,0.0001,1.0,2.34,0.9999999891915989,0.00014702653459888054,0.9999999891915989,0.00014702653459888054,-0.0001470265351285878,1.5706493002595783
10.0,0.0001,1.0,5.46,0.9999999411542654,0.00034306189758427484,0.9999999411542654,0.00034306189758427484,-0.00034306190431351814,1.5704532648902623
10.0,0.0001,1.0,12.74,0.9999996796177933,0.0008004775516758326,0.9999996796177933,0.0008004775516758326,-0.0008004776371620983,1.5699958491577533
10.0,0.0001,1.0,29.76,0.9999982517865549,0.0018698726784743738,0.9999982517865549,0.0018698726784743738,-0.0018698737681206545,1.5689264530267288
10.0,0.0001,1.0,69.52,0.9999904601168945,0.004368028754669992,0.9999904601168945,0.004368028754669992,-0.004368042644884237,1.5664282841500063
10.0,0.0001,1.0,162.38,0.9999479571692129,0.010202105327723575,0.9999479571692129,0.010202105327723575,-0.010202282313555,1.5605940444813349
10.0,0.0001,1.0,379.27,0.9997161807800642,0.023823473435288046,0.9997161807800642,0.023823473435288046,-0.02382572754440944,1.5469705992504834
10.0,0.0001,1.0,885.87,0.9984545248210639,0.05557483121290986,0.9984545248210639,0.05557483121290986,-0.055603478764061576,1.515192848030834
10.0,0.0001,1.0,2069.14,0.9916546157504886,0.12892293458012322,0.9916546157504886,0.12892293458012322,-0.12928277320636522,1.4415135535885317
10.0,0.0001,1.0,4832.93,0.956856498517709,0.29056090797701906,0.956856498517709,0.29056090797701906,-0.29481298425718844,1.2759833425377087
10.0,0.0001,1.0,11288.38,0.8156640234020341,0.5785258861344114,0.8156640234020341,0.5785258861344114,-0.6169202736961095,0.9538760530987871
10.0,0.0001,1.0,26366.51,0.516776104161399,0.8561205862305652,0.516776104161399,0.8561205862305652,-1.0277153776363985,0.543080949158498
10.0,0.0001,1.0,61584.82,0.250211673364276,0.9681911580427952,0.250211673364276,0.9681911580427952,-1.3178974501701426,0.25289887662475413
10.0,0.0001,1.0,143844.99,0.10997227877923733,0.9939346547435107,0.10997227877923733,0.9939346547435107,-1.460601167235768,0.11019515955912906
10.0,0.0001,1.0,335981.83,0.04731704599285074,0.9988799212910983,0.04731704599285074,0.9988799212910983,-1.5234616066112707,0.04733472018362639
10.0,0.0001,1.0,784759.97,0.020276546773670218,0.9997944096917801,0.020276546773670218,0.9997944096917801,-1.5505183903531126,0.020277936441785417
10.0,0.0001,1.0,1832980.71,0.008682521483670741,0.9999623061999315,0.008682521483670741,0.9999623061999315,-1.5621136962171773,0.008682630577725243
10.0,0.0001,1.0,4281332.4,0.003717390488242635,0.9999930904801082,0.003717390488242635,0.9999930904801082,-1.5670789277448258,0.003717399050060806
10.0,0.0001,1.0,10000000.0,0.0015915474152018807,0.9999987334876105,0.0015915474152018807,0.9999987334876105,-1.5692047787077632,0.001591548087107061
10.0,0.0001,6.75,1.0,0.9999999980260791,6.283185294777074e-05,0.9999999980260791,6.283185294777074e-05,-6.283185298911246e-05,1.5707334949423
10.0,0.0001,6.75,2.34,0.9999999891915989,0.00014702653459888054,0.9999999891915989,0.00014702653459888054,-0.0001470265351285878,1.5706493002595783
10.0,0.0001,6.75,5.46,0.9999999411542654,0.00034306189758427484,0.9999999411542654,0.00034306189758427484,-0.00034306190431351814,1.5704532648902623
10.0,0.0001,6.75,12.74,0.9999996796177933,0.0008004775516758326,0.9999996796177933,0.0008004775516758326,-0.0008004776371620983,1.5699958491577533
10.0,0.0001,6.75,29.76,0.9999982517865549,0.0018698726784743738,0.9999982517865549,0.0018698726784743738,-0.0018698737681206545,1.5689264530267288
10.0,0.0001,6.75,69.52,0.9999904601168945,0.004368028754669992,0.9999904601168945,0.004368028754669992,-0.004368042644884237,1.5664282841500063
10.0,0.0001,6.75,162.38,0.9999479571692129,0.010202105327723575,0.9999479571692129,0.010202105327723575,-0.010202282313555,1.5605940444813349
10.0,0.0001,6.75,379.27,0.9997161807800642,0.023823473435288046,0.9997161807800642,0.023823473435288046,-0.02382572754440944,1.5469705992504834
10.0,0.0001,6.75,885.87,0.9984545248210639,0.05557483121290986,0.9984545248210639,0.05557483121290986,-0.055603478764061576,1.515192848030834
10.0,0.0001,6.75,2069.14,0.9916546157504886,0.12892293458012322,0.9916546157504886,0.12892293458012322,-0.12928277320636522,1.4415135535885317
10.0,0.0001,6.75,4832.93,0.956856498517709,0.29056090797701906,0.956856498517709,0.29056090797701906,-0.29481298425718844,1.2759833425377087
10.0,0.0001,6.75,11288.38,0.8156640234020341,0.5785258861344114,0.8156640234020341,0.5785258861344114,-0.6169202736961095,0.9538760530987871
10.0,0.0001,6.75,26366.51,0.516776104161399,0.8561205862305652,0.516776104161399,0.8561205862305652,-1.0277153776363985,0.543080949158498
10.0,0.0001,6.75,61584.82,0.250211673364276,0.9681911580427952,0.250211673364276,0.9681911580427952,-1.3178974501701426,0.25289887662475413
10.0,0.0001,6.75,143844.99,0.10997227877923733,0.9939346547435107,0.10997227877923733,0.9939346547435107,-1.460601167235768,0.11019515955912906
10.0,0.0001,6.75,335981.83,0.04731704599285074,0.9988799212910983,0.04731704599285074,0.9988799212910983,-1.5234616066112707,0.04733472018362639
10.0,0.0001,6.75,784759.97,0.020276546773670218,0.9997944096917801,0.020276546773670218,0.9997944096917801,-1.5505183903531126,0.020277936441785417
10.0,0.0001,6.75,1832980.71,0.008682521483670741,0.9999623061999315,0.008682521483670741,0.9999623061999315,-1.5621136962171773,0.008682630577725243
10.0,0.0001,6.75,4281332.4,0.003717390488242635,0.9999930904801082,0.003717390488242635,0.9999930904801082,-1.5670789277448258,0.003717399050060806
10.0,0.0001,6.75,10000000.0,0.0015915474152018807,0.9999987334876105,0.0015915474152018807,0.9999987334876105,-1.5692047787077632,0.001591548087107061
10.0,0.0001,12.5,1.0,0.9999999980260791,6.283185294777074e-05,0.9999999980260791,6.283185294777074e-05,-6.283185298911246e-05,1.5707334949423
10.0,0.0001,12.5,2.34,0.9999999891915989,0.00014702653459888054,0.9999999891915989,0.00014702653459888054,-0.0001470265351285878,1.5706493002595783
10.0,0.0001,12.5,5.46,0.9999999411542654,0.00034306189758427484,0.9999999411542654,0.00034306189758427484,-0.00034306190431351814,1.5704532648902623
10.0,0.0001,12.5,12.74,0.9999996796177933,0.0008004775516758326,0.9999996796177933,0.0008004775516758326,-0.0008004776371620983,1.5699958491577533
10.0,0.0001,12.5,29.76,0.9999982517865549,0.0018698726784743738,0.9999982517865549,0.0018698726784743738,-0.0018698737681206545,1.5689264530267288
10.0,0.0001,12.5,69.52,0.9999904601168945,0.004368028754669992,0.9999904601168945,0.004368028754669992,-0.004368042644884237,1.5664282841500063
10.0,0.0001,12.5,162.38,0.9999479571692129,0.010202105327723575,0.9999479571692129,0.010202105327723575,-0.010202282313555,1.5605940444813349
10.0,0.0001,12.5,379.27,0.9997161807800642,0.023823473435288046,0.9997161807800642,0.023823473435288046,-0.02382572754440944,1.5469705992504834
10.0,0.0001,12.5,885.87,0.9984545248210639,0.05557483121290986,0.9984545248210639,0.05557483121290986,-0.055603478764061576,1.515192848030834
10.0,0.0001,12.5,2069.14,0.9916546157504886,0.12892293458012322,0.9916546157504886,0.12892293458012322,-0.12928277320636522,1.4415135535885317
10.0,0.0001,12.5,4832.93,0.956856498517709,0.29056090797701906,0.956856498517709,0.29056090797701906,-0.29481298425718844,1.2759833425377087
10.0,0.0001,12.5,11288.38,0.8156640234020341,0.5785258861344114,0.8156640234020341,0.5785258861344114,-0.6169202736961095,0.9538760530987871
10.0,0.0001,12.5,26366.51,0.516776104161399,0.8561205862305652,0.516776104161399,0.8561205862305652,-1.0277153776363985,0.543080949158498
10.0,0.0001,12.5,61584.82,0.250211673364276,0.9681911580427952,0.250211673364276,0.9681911580427952,-1.3178974501701426,0.25289887662475413
10.0,0.0001,12.5,143844.99,0.10997227877923733,0.9939346547435107,0.10997227877923733,0.9939346547435107,-1.460601167235768,0.11019515955912906
10.0,0.0001,12.5,335981.83,0.04731704599285074,0.9988799212910983,0.04731704599285074,0.9988799212910983,-1.5234616066112707,0.04733472018362639
10.0,0.0001,12.5,784759.97,0.020276546773670218,0.9997944096917801,0.020276546773670218,0.9997944096917801,-1.5505183903531126,0.020277936441785417
10.0,0.0001,12.5,1832980.71,0.008682521483670741,0.9999623061999315,0.008682521483670741,0.9999623061999315,-1.5621136962171773,0.008682630577725243
10.0,0.0001,12.5,4281332.4,0.003717390488242635,0.9999930904801082,0.003717390488242635,0.9999930904801082,-1.5670789277448258,0.003717399050060806
10.0,0.0001,12.5,10000000.0,0.0015915474152018807,0.9999987334876105,0.0015915474152018807,0.9999987334876105,-1.5692047787077632,0.001591548087107061
10.0,0.0001,18.25,1.0,0.9999999980260791,6.283185294777074e-05,0.9999999980260791,6.283185294777074e-05,-6.283185298911246e-05,1.5707334949423
10.0,0.0001,18.25,2.34,0.9999999891915989,0.00014702653459888054,0.9999999891915989,0.00014702653459888054,-0.0001470265351285878,1.5706493002595783
10.0,0.0001,18.25,5.46,0.9999999411542654,0.00034306189758427484,0.9999999411542654,0.00034306189758427484,-0.00034306190431351814,1.5704532648902623
10.0,0.0001,18.25,12.74,0.9999996796177933,0.0008004775516758326,0.9999996796177933,0.0008004775516758326,-0.0008004776371620983,1.5699958491577533
10.0,0.0001,18.25,29.76,0.9999982517865549,0.0018698726784743738,0.9999982517865549,0.0018698726784743738,-0.0018698737681206545,1.5689264530267288
10.0,0.0001,18.25,69.52,0.9999904601168945,0.004368028754669992,0.9999904601168945,0.004368028754669992,-0.004368042644884237,1.5664282841500063
10.0,0.0001,18.25,162.38,0.9999479571692129,0.010202105327723575,0.9999479571692129,0.010202105327723575,-0.010202282313555,1.5605940444813349
