R,L,V_in,Frequency_Hz,V_R,V_L,gain_bas,gain_haut,phase_V_R_rad,phase_V_L_rad
100.0,0.001,5.0,10.0,0.9999998026079704,0.0006283184066928888,0.9999998026079704,0.0006283184066928888,-0.0006283184480345738,1.5701680083467615
100.0,0.001,5.0,100.0,0.9999802613756332,0.00628306128574498,0.9999802613756332,0.00628306128574498,-0.006283102625733576,1.5645132241691813
100.0,0.001,5.0,1000.0,0.998031904503645,0.06270819398473762,0.998031904503645,0.06270819398473762,-0.06274936496932149,1.5080469618255763
100.0,0.001,5.0,10000.0,0.8467330159648304,0.5320180445014081,0.8467330159648304,0.5320180445014081,-0.5609821161086238,1.0098142106862726
100.0,0.001,5.0,100000.0,0.1571767254775899,0.9875704921513918,0.1571767254775899,0.9875704921513918,-1.4129651365067377,0.1578311902881589
100.0,0.005,5.0,10.0,0.9999950652343275,0.0031415771505662097,0.9999950652343275,0.0031415771505662097,-0.0031415823182254364,1.5676547444766233
100.0,0.005,5.0,100.0,0.9995068847638621,0.03140043486386569,0.9995068847638621,0.03140043486386569,-0.03140559722642013,1.5393907295684777
100.0,0.005,5.0,1000.0,0.9540282163784651,0.29971680358919595,0.9540282163784651,0.29971680358919595,-0.3043957973646151,1.2664005294302816
100.0,0.005,5.0,10000.0,0.30331447105335285,0.9528905139886874,0.30331447105335285,0.9528905139886874,-1.2626272556789118,0.3081690711159849
100.0,0.005,5.0,100000.0,0.03181487509493861,0.9994937787313602,0.03181487509493861,0.9994937787313602,-1.5389760821571927,0.03182024463770243
100.0,0.01,5.0,10.0,0.9999802613756332,0.00628306128574498,0.9999802613756332,0.00628306128574498,-0.006283102625733576,1.5645132241691813
100.0,0.01,5.0,100.0,0.998031904503645,0.06270819398473762,0.998031904503645,0.06270819398473762,-0.06274936496932149,1.5080469618255763
100.0,0.01,5.0,1000.0,0.8467330159648304,0.5320180445014081,0.8467330159648304,0.5320180445014081,-0.5609821161086238,1.0098142106862726
100.0,0.01,5.0,10000.0,0.15717672547758985,0.9875704921513918,0.15717672547758985,0.9875704921513918,-1.4129651365067377,0.15783119028815884
100.0,0.01,5.0,100000.0,0.015913478971147695,0.9998733725762652,0.015913478971147695,0.9998733725762652,-1.5548821760954454,0.0159141506994531
500.0,0.001,5.0,10.0,0.9999999921043167,0.00012566370515139087,0.9999999921043167,0.00012566370515139087,-0.0001256637054821245,1.5706706630904779
500.0,0.001,5.0,100.0,0.999999210432583,0.0012566360692362387,0.999999210432583,0.0012566360692362387,-0.001256636399969308,1.5695396903949275
500.0,0.001,5.0,1000.0,0.9999210525148338,0.012565378531001502,0.9999210525148338,0.012565378531001502,-0.01256570920978909,1.5582306175851173
500.0,0.001,5.0,10000.0,0.9921966153935916,0.1246831039134866,0.9921966153935916,0.1246831039134866,-0.12500843635595218,1.4457878904389445
500.0,0.001,5.0,100000.0,0.6226769922994999,0.7824789858269988,0.6226769922994999,0.7824789858269988,-0.8986370930563422,0.6721592337385545
500.0,0.005,5.0,10.0,0.9999998026079705,0.0006283184066928886,0.9999998026079705,0.0006283184066928886,-0.0006283184480345737,1.5701680083469383
500.0,0.005,5.0,100.0,0.9999802613756331,0.006283061285744981,0.9999802613756331,0.006283061285744981,-0.0062831026257335765,1.5645132241691635
500.0,0.005,5.0,1000.0,0.9980319045036449,0.06270819398473762,0.9980319045036449,0.06270819398473762,-0.06274936496932149,1.5080469618255745
500.0,0.005,5.0,10000.0,0.8467330159648304,0.5320180445014081,0.8467330159648304,0.5320180445014081,-0.5609821161086238,1.0098142106862726
500.0,0.005,5.0,100000.0,0.15717672547758987,0.9875704921513918,0.15717672547758987,0.9875704921513918,-1.4129651365067377,0.15783119028815887
500.0,0.01,5.0,10.0,0.999999210432583,0.0012566360692362387,0.999999210432583,0.0012566360692362387,-0.001256636399969308,1.5695396903949275
500.0,0.01,5.0,100.0,0.9999210525148338,0.012565378531001502,0.9999210525148338,0.012565378531001502,-0.01256570920978909,1.5582306175851173
500.0,0.01,5.0,1000.0,0.9921966153935916,0.1246831039134866,0.9921966153935916,0.1246831039134866,-0.12500843635595218,1.4457878904389445
500.0,0.01,5.0,10000.0,0.6226769922994999,0.7824789858269988,0.6226769922994999,0.7824789858269988,-0.8986370930563422,0.6721592337385545
500.0,0.01,5.0,100000.0,0.07932669684365853,0.996848672150329,0.07932669684365853,0.996848672150329,-1.4913861966284638,0.07941013016643254
1000.0,0.001,5.0,10.0,0.9999999980260791,6.283185294777074e-05,0.9999999980260791,6.283185294777074e-05,-6.283185298911246e-05,1.5707334949419076
1000.0,0.001,5.0,100.0,0.9999998026079705,0.0006283184066928887,0.9999998026079705,0.0006283184066928887,-0.0006283184480345737,1.570168008346862
1000.0,0.001,5.0,1000.0,0.9999802613756331,0.006283061285744981,0.9999802613756331,0.006283061285744981,-0.0062831026257335765,1.564513224169163
1000.0,0.001,5.0,10000.0,0.9980319045036449,0.06270819398473763,0.9980319045036449,0.06270819398473763,-0.0627493649693215,1.5080469618255752
1000.0,0.001,5.0,100000.0,0.8467330159648304,0.532018044501408,0.8467330159648304,0.532018044501408,-0.5609821161086237,1.0098142106862729
1000.0,0.005,5.0,10.0,0.9999999506519818,0.0003141592498558421,0.9999999506519818,0.0003141592498558421,-0.00031415925502355436,1.570482167539873
1000.0,0.005,5.0,100.0,0.9999950652343276,0.0031415771505662097,0.9999950652343276,0.0031415771505662097,-0.003141582318225437,1.567654744476671
1000.0,0.005,5.0,1000.0,0.9995068847638621,0.03140043486386569,0.9995068847638621,0.03140043486386569,-0.03140559722642013,1.5393907295684766
1000.0,0.005,5.0,10000.0,0.9540282163784651,0.29971680358919595,0.9540282163784651,0.29971680358919595,-0.3043957973646151,1.2664005294302816
1000.0,0.005,5.0,100000.0,0.3033144710533528,0.9528905139886875,0.3033144710533528,0.9528905139886875,-1.2626272556789122,0.3081690711159849
1000.0,0.01,5.0,10.0,0.9999998026079705,0.0006283184066928887,0.9999998026079705,0.0006283184066928887,-0.0006283184480345737,1.570168008346862
1000.0,0.01,5.0,100.0,0.9999802613756331,0.006283061285744981,0.9999802613756331,0.006283061285744981,-0.0062831026257335765,1.564513224169163
1000.0,0.01,5.0,1000.0,0.9980319045036449,0.06270819398473763,0.9980319045036449,0.06270819398473763,-0.0627493649693215,1.5080469618255752
1000.0,0.01,5.0,10000.0,0.8467330159648304,0.532018044501408,0.8467330159648304,0.532018044501408,-0.5609821161086237,1.0098142106862729
1000.0,0.01,5.0,100000.0,0.15717672547758985,0.9875704921513919,0.15717672547758985,0.9875704921513919,-1.4129651365067384,0.15783119028815887
